Date,Open,High,Low,Close,Adj Close,Volume,Year
12/31/2014,20.4,20.51,19.99,20.049999,19.45927,4157500,2014
1/2/2015,20.129999,20.280001,19.809999,20.129999,19.536913,2842000,2015
1/5/2015,20.129999,20.190001,19.700001,19.790001,19.206934,4948800,2015
1/6/2015,19.82,19.84,19.17,19.190001,18.624611,4944100,2015
1/7/2015,19.33,19.5,19.08,19.139999,18.576082,8045200,2015
1/8/2015,19.360001,19.98,19.35,19.860001,19.27487,7094500,2015
1/9/2015,19.93,20.09,19.66,19.940001,19.352512,5238500,2015
1/12/2015,19.99,20,19.51,19.690001,19.109879,4768300,2015
1/13/2015,19.84,20.24,19.52,19.66,19.080761,5909700,2015
1/14/2015,19.450001,19.799999,19.4,19.74,19.158401,3881500,2015
1/15/2015,19.879999,20,19.59,19.6,19.02253,4723300,2015
1/16/2015,19.57,19.98,19.51,19.959999,19.371923,4537800,2015
1/20/2015,20.1,20.209999,19.77,20.02,19.430159,3487500,2015
1/21/2015,19.91,20.35,19.77,20.299999,19.701904,3619500,2015
1/22/2015,20.34,20.709999,20.129999,20.65,20.041594,3992800,2015
1/23/2015,20.67,20.75,20.5,20.709999,20.099825,2976700,2015
1/26/2015,20.620001,20.719999,20.49,20.620001,20.01248,3331000,2015
1/27/2015,20.299999,20.32,19.59,19.629999,19.051643,8948700,2015
1/28/2015,19.870001,19.950001,19.299999,19.309999,18.741074,6818200,2015
1/29/2015,19.32,19.889999,19.23,19.780001,19.197226,5883500,2015
1/30/2015,19.639999,19.870001,19.17,19.200001,18.634314,7455000,2015
2/2/2015,19.32,19.700001,18.940001,19.620001,19.041941,6490100,2015
2/3/2015,19.76,20.129999,19.66,20.110001,19.517504,4555300,2015
2/4/2015,20.049999,20.389999,19.99,20.16,19.566031,4537900,2015
2/5/2015,20.18,20.5,20.16,20.49,19.886305,3511200,2015
2/6/2015,20.469999,20.709999,20.309999,20.4,19.798956,5231900,2015
2/9/2015,20.280001,20.440001,20.15,20.379999,19.779549,6848600,2015
2/10/2015,20.4,20.959999,20.309999,20.950001,20.332756,5655100,2015
2/11/2015,21,21,20.67,20.809999,20.196877,8020800,2015
2/12/2015,22,22.5,21.870001,22.299999,21.642979,16922600,2015
2/13/2015,22.25,22.34,21.91,22.309999,21.652683,7752100,2015
2/17/2015,22.27,22.49,22.129999,22.379999,21.720623,5083500,2015
2/18/2015,22.35,22.389999,22.08,22.120001,21.468283,4273700,2015
2/19/2015,22.4,22.440001,22.08,22.18,21.526518,4235800,2015
